Size,,,, CPU Time,,Size,,,,CPU Time
2300,4, Adj List, CPU Time,0.000977,,2300,4, Adj Matrix, CPU Time,1.584014
2300,3, Adj List, CPU Time,0.001006,,2300,3, Adj Matrix, CPU Time,0.655715
2300,2, Adj List, CPU Time,0.001018,,2300,2, Adj Matrix, CPU Time,0.67333
2300,1, Adj List, CPU Time,0.001017,,2300,1, Adj Matrix, CPU Time,0.940515
2050,10, Adj List, CPU Time,0.000903,,2050,10, Adj Matrix, CPU Time,0.478479
2050,9, Adj List, CPU Time,0.000885,,2050,9, Adj Matrix, CPU Time,0.667974
2050,8, Adj List, CPU Time,0.000874,,2050,8, Adj Matrix, CPU Time,0.726277
2050,7, Adj List, CPU Time,0.000857,,2050,7, Adj Matrix, CPU Time,1.133575
2050,6, Adj List, CPU Time,0.000899,,2050,6, Adj Matrix, CPU Time,0.619525
2050,5, Adj List, CPU Time,0.000915,,2050,5, Adj Matrix, CPU Time,0.640887
2050,4, Adj List, CPU Time,0.000875,,2050,4, Adj Matrix, CPU Time,0.633286
2050,3, Adj List, CPU Time,0.000911,,2050,3, Adj Matrix, CPU Time,0.433047
2050,2, Adj List, CPU Time,0.000888,,2050,2, Adj Matrix, CPU Time,0.916074
2050,1, Adj List, CPU Time,0.000901,,2050,1, Adj Matrix, CPU Time,0.44612
1800,10, Adj List, CPU Time,0.000794,,1800,10, Adj Matrix, CPU Time,0.367275
1800,9, Adj List, CPU Time,0.000788,,1800,9, Adj Matrix, CPU Time,0.365151
1800,8, Adj List, CPU Time,0.000748,,1800,8, Adj Matrix, CPU Time,0.781228
1800,7, Adj List, CPU Time,0.000757,,1800,7, Adj Matrix, CPU Time,0.588174
1800,6, Adj List, CPU Time,0.000734,,1800,6, Adj Matrix, CPU Time,0.793531
1800,5, Adj List, CPU Time,0.000793,,1800,5, Adj Matrix, CPU Time,0.332993
1800,4, Adj List, CPU Time,0.000792,,1800,4, Adj Matrix, CPU Time,0.44182
1800,3, Adj List, CPU Time,0.000801,,1800,3, Adj Matrix, CPU Time,0.378856
1800,2, Adj List, CPU Time,0.00079,,1800,2, Adj Matrix, CPU Time,0.429539
1800,1, Adj List, CPU Time,0.00082,,1800,1, Adj Matrix, CPU Time,0.275161
1550,10, Adj List, CPU Time,0.000665,,1550,10, Adj Matrix, CPU Time,0.343411
1550,9, Adj List, CPU Time,0.000645,,1550,9, Adj Matrix, CPU Time,0.49931
1550,8, Adj List, CPU Time,0.000656,,1550,8, Adj Matrix, CPU Time,0.279949
1550,7, Adj List, CPU Time,0.000651,,1550,7, Adj Matrix, CPU Time,0.347815
1550,6, Adj List, CPU Time,0.000681,,1550,6, Adj Matrix, CPU Time,0.195967
1550,5, Adj List, CPU Time,0.000637,,1550,5, Adj Matrix, CPU Time,0.593358
1550,4, Adj List, CPU Time,0.000673,,1550,4, Adj Matrix, CPU Time,0.202102
1550,3, Adj List, CPU Time,0.000664,,1550,3, Adj Matrix, CPU Time,0.292768
1550,2, Adj List, CPU Time,0.000665,,1550,2, Adj Matrix, CPU Time,0.269347
1550,1, Adj List, CPU Time,0.000673,,1550,1, Adj Matrix, CPU Time,0.268933
