comp, swap, thresh, size, cpu_time, -->, time
9410000, 0, -1, 230, 0.245381, -->, 0.249s
2290000, 0, 240, 230, 0.012759, -->, 0.016s
9410000, 0, -1, 230, 0.250697, -->, 0.254s
 
2280000, 0, 240, 229, 0.011660, -->, 0.016s
9370000, 0, -1, 229, 0.241755, -->, 0.244s
2280000, 0, 240, 229, 0.013503, -->, 0.016s
9370000, 0, -1, 229, 0.251946, -->, 0.255s
2280000, 0, 240, 229, 0.014272, -->, 0.016s
9370000, 0, -1, 229, 0.244635, -->, 0.248s
2280000, 0, 240, 229, 0.014150, -->, 0.016s
9370000, 0, -1, 229, 0.244696, -->, 0.247s
2280000, 0, 240, 229, 0.012861, -->, 0.017s
9370000, 0, -1, 229, 0.350379, -->, 0.353s
2280000, 0, 240, 229, 0.016591, -->, 0.021s
9370000, 0, -1, 229, 0.290689, -->, 0.295s
2280000, 0, 240, 229, 0.016153, -->, 0.018s
9370000, 0, -1, 229, 0.267375, -->, 0.271s
2280000, 0, 240, 229, 0.015454, -->, 0.017s
9370000, 0, -1, 229, 0.260191, -->, 0.262s
2280000, 0, 240, 229, 0.013747, -->, 0.017s
9370000, 0, -1, 229, 0.251288, -->, 0.255s
2280000, 0, 240, 229, 0.013048, -->, 0.017s
9370000, 0, -1, 229, 0.250410, -->, 0.252s
 
2270000, 0, 240, 228, 0.015320, -->, 0.018s
9320000, 0, -1, 228, 0.255109, -->, 0.258s
2270000, 0, 240, 228, 0.014182, -->, 0.017s
9320000, 0, -1, 228, 0.248159, -->, 0.253s
2270000, 0, 240, 228, 0.012573, -->, 0.016s
9320000, 0, -1, 228, 0.243364, -->, 0.245s
2270000, 0, 240, 228, 0.014568, -->, 0.016s
9320000, 0, -1, 228, 0.257055, -->, 0.262s
2270000, 0, 240, 228, 0.011266, -->, 0.016s
9320000, 0, -1, 228, 0.249265, -->, 0.253s
2270000, 0, 240, 228, 0.011254, -->, 0.016s
9320000, 0, -1, 228, 0.241521, -->, 0.246s
2270000, 0, 240, 228, 0.012357, -->, 0.017s
9320000, 0, -1, 228, 0.246221, -->, 0.250s
